epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2797.62,0.6925,0.32317,0.77751,0.90254,0.77562,0.82729,0.58887,0.73423,0.36437,0.78364,0.000198125,0.000198125,0.000198125
87,2829.97,0.68275,0.31974,0.77657,0.94367,0.74747,0.82728,0.58323,0.7404,0.37203,0.78406,0.00018575,0.00018575,0.00018575
88,2862.43,0.69901,0.32391,0.77751,0.94114,0.72734,0.81801,0.58268,0.73485,0.36971,0.78337,0.000173375,0.000173375,0.000173375
89,2894.71,0.70058,0.32338,0.7733,0.94796,0.75783,0.83215,0.58965,0.74269,0.36806,0.78326,0.000161,0.000161,0.000161
90,2927.06,0.67906,0.31997,0.77332,0.89233,0.73868,0.819,0.57827,0.7347,0.37719,0.78179,0.000148625,0.000148625,0.000148625
91,2960.94,0.66002,0.31999,0.77488,0.91653,0.74571,0.82008,0.56884,0.74862,0.37446,0.78368,0.00013625,0.00013625,0.00013625
92,2993.2,0.65535,0.31612,0.77352,0.90418,0.73479,0.82464,0.57608,0.7529,0.37209,0.78265,0.000123875,0.000123875,0.000123875
93,3024.38,0.64346,0.30873,0.77622,0.88264,0.73488,0.81796,0.5638,0.74278,0.38121,0.78235,0.0001115,0.0001115,0.0001115
94,3055.95,0.63853,0.30692,0.77529,0.90621,0.73243,0.81526,0.56024,0.74686,0.37288,0.78391,9.9125e-05,9.9125e-05,9.9125e-05
95,3088.44,0.64666,0.30885,0.77446,0.90326,0.73067,0.81521,0.56557,0.75169,0.3686,0.78387,8.675e-05,8.675e-05,8.675e-05
96,3119.86,0.61663,0.29814,0.77567,0.91829,0.73474,0.81923,0.5729,0.74188,0.36639,0.78232,7.4375e-05,7.4375e-05,7.4375e-05
97,3151.12,0.62827,0.30138,0.77386,0.93706,0.74328,0.82303,0.57671,0.73065,0.36587,0.78171,6.2e-05,6.2e-05,6.2e-05
98,3182.7,0.61582,0.29913,0.77327,0.93442,0.74169,0.82498,0.57325,0.7403,0.37133,0.7832,4.9625e-05,4.9625e-05,4.9625e-05
99,3214.44,0.61134,0.29496,0.77177,0.94823,0.7626,0.83136,0.58598,0.72626,0.35713,0.78242,3.725e-05,3.725e-05,3.725e-05
100,3245.59,0.60672,0.29149,0.77596,0.94695,0.76031,0.82675,0.58403,0.73063,0.35679,0.78279,2.4875e-05,2.4875e-05,2.4875e-05
